REQ_ID,Title,Category,Priority,Rationale,Verification,Parent_KNOT,Downstream_KNU,Status
REQ-SAF-001,Safety Message Hierarchy,General,MUST,Aligns with ANSI Z535.4 and S1000D conventions,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001",OPEN
REQ-SAF-002,Severity Mapping,General,MUST,Consistent severity interpretation across safety and documentation,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001;KNU-00-00-003-ANA-001",OPEN
REQ-SAF-003,Consistent Formatting,General,MUST,Prevents confusion from inconsistent appearance,Inspection,KNOT-00-00-003,"KNU-00-00-003-PUB-001;KNU-00-00-003-CM-001",OPEN
REQ-SAF-004,Proximity Placement,General,MUST,Ensures visibility at point of hazard exposure,Review,KNOT-00-00-003,"KNU-00-00-003-PUB-001",OPEN
REQ-SAF-005,Language Clarity,General,MUST,Maximizes comprehension under stress,Review,KNOT-00-00-003,"KNU-00-00-003-PUB-001;KNU-00-00-001-REQ-001",OPEN
REQ-SAF-010,WARNING Format,WARNING,MUST,Maximum visibility for highest-severity hazards,Inspection,KNOT-00-00-003,"KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001",OPEN
REQ-SAF-011,WARNING Color Specification,WARNING,MUST,ISO 3864-1 and ANSI Z535 color standards,Inspection,KNOT-00-00-003,"KNU-00-00-003-ICD-001",OPEN
REQ-SAF-012,WARNING Minimum Size,WARNING,MUST,Legibility at normal reading distance,Inspection,KNOT-00-00-003,"KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001",OPEN
REQ-SAF-020,CAUTION Format,CAUTION,MUST,Distinguishes from WARNING while maintaining visibility,Inspection,KNOT-00-00-003,"KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001",OPEN
REQ-SAF-021,CAUTION Color Specification,CAUTION,MUST,ISO 3864-1 and ANSI Z535 color standards,Inspection,KNOT-00-00-003,"KNU-00-00-003-ICD-001",OPEN
REQ-SAF-030,NOTE Format,NOTE,MUST,Distinguishes informational content from hazard warnings,Inspection,KNOT-00-00-003,"KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001",OPEN
REQ-SAF-031,NOTE Color Specification,NOTE,SHOULD,Common convention; may vary by publication type,Inspection,KNOT-00-00-003,"KNU-00-00-003-ICD-001",OPEN
REQ-SAF-040,Cryogenic Hazard Symbol,H₂ Symbols,MUST,Distinguishes from generic cold hazards,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001",OPEN
REQ-SAF-041,Flammable Gas Hazard Symbol,H₂ Symbols,MUST,Hydrogen has unique flammability characteristics (4–75% LEL-UEL),Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001",OPEN
REQ-SAF-042,Asphyxiation Hazard Symbol,H₂ Symbols,MUST,H₂ displaces oxygen without visible or olfactory indication,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001",OPEN
REQ-SAF-043,High Voltage Hazard Symbol,H₂ Symbols,MUST,Electric propulsion voltages exceed conventional aircraft levels,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001",OPEN
REQ-SAF-044,Pressure Hazard Symbol,H₂ Symbols,MUST,H₂ storage pressures far exceed conventional aircraft systems,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001",OPEN
REQ-SAF-045,Composite Hazard Symbols,H₂ Symbols,SHOULD,H₂ systems often present multiple simultaneous hazards,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001",OPEN
REQ-SAF-050,AI/ML Output Indication,AI/ML,MUST,Operators must distinguish AI recommendations from deterministic outputs,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001;ATA95-LC03",OPEN
REQ-SAF-051,AI Confidence Indication,AI/ML,SHOULD,Enables operator calibration of trust in AI outputs,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001;ATA95-LC03",OPEN
REQ-SAF-052,AI Override Indication,AI/ML,MUST,Traceability for safety investigation and learning assurance,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001;ATA95-LC03",OPEN
REQ-SAF-053,AI Limitation Warnings,AI/ML,MUST,EASA AI Roadmap requirement for runtime monitoring,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001",OPEN
REQ-SAF-060,S1000D Warning Markup,S1000D,MUST,S1000D schema compliance,BREX+CI,KNOT-00-00-003,"KNU-00-00-003-PUB-001",OPEN
REQ-SAF-061,S1000D Caution Markup,S1000D,MUST,S1000D schema compliance,BREX+CI,KNOT-00-00-003,"KNU-00-00-003-PUB-001",OPEN
REQ-SAF-062,S1000D Note Markup,S1000D,MUST,S1000D schema compliance,BREX+CI,KNOT-00-00-003,"KNU-00-00-003-PUB-001",OPEN
REQ-SAF-063,BREX Rules for Safety Messages,S1000D,MUST,Automated quality control,Review,KNOT-00-00-003,"KNU-00-00-003-PUB-001",OPEN
REQ-SAF-070,Hazard Category Registry,Classification,MUST,Ensures consistency across all publications,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001;KNU-00-00-003-CM-001",OPEN
REQ-SAF-071,Hazard-to-Symbol Mapping,Classification,MUST,Prevents symbol proliferation and confusion,Review,KNOT-00-00-003,"KNU-00-00-003-ICD-001",OPEN
REQ-SAF-072,New Hazard Approval Process,Classification,MUST,Prevents uncontrolled symbol creation,Review,KNOT-00-00-003,"KNU-00-00-003-CM-001",OPEN
REQ-SAF-080,Placard-to-Documentation Alignment,Physical Placards,MUST,Prevents confusion between aircraft and manual,Inspection,KNOT-00-00-003,"KNU-00-00-003-CM-001",OPEN
REQ-SAF-081,Placard Durability Requirements,Physical Placards,SHOULD,Placards must remain legible throughout service life,Test,KNOT-00-00-003,"ATA11-LC04",OPEN
REQ-SAF-082,Multi-Language Placards,Physical Placards,SHOULD,International operations,Review,KNOT-00-00-003,"ATA11-LC04",OPEN
