REQ_ID,Title,Category,Priority,Rationale,Verification,Parent_KNOT,Downstream_KNU,Status
REQ-XRF-001,URI Scheme Definition,Reference Syntax,MUST,Enables unambiguous program-wide references,Inspection,KNOT-00-00-004,"KNU-00-00-004-ICD-001",OPEN
REQ-XRF-002,Relative Path References,Reference Syntax,MUST,Portable references; repository-relocatable,Inspection,KNOT-00-00-004,"KNU-00-00-004-ICD-001;KNU-00-00-004-PUB-001",OPEN
REQ-XRF-003,Anchor Syntax,Reference Syntax,MUST,Typed anchors enable semantic navigation,Inspection,KNOT-00-00-004,"KNU-00-00-004-ICD-001",OPEN
REQ-XRF-004,External Reference Format,Reference Syntax,MUST,Precise external traceability for certification,Review,KNOT-00-00-004,"KNU-00-00-004-ICD-001;KNU-00-00-004-PUB-001",OPEN
REQ-XRF-010,Trace Link Classification,Trace Link Types,MUST,Semantic links enable trace analysis and impact assessment,Review,KNOT-00-00-004,"KNU-00-00-004-ICD-001;KNU-00-00-004-ANA-001",OPEN
REQ-XRF-011,Bidirectional Link Requirement,Trace Link Types,MUST,Complete traceability requires both upstream and downstream navigation,Inspection,KNOT-00-00-004,"KNU-00-00-004-ICD-001;KNU-00-00-004-CM-001",OPEN
REQ-XRF-012,Link Cardinality,Trace Link Types,MUST,Defines valid relationship patterns,Review,KNOT-00-00-004,"KNU-00-00-004-ICD-001",OPEN
REQ-XRF-020,Certification Evidence Chain,Certification,MUST,DO-178C/DO-254 and ARP4754A traceability requirements,Review,KNOT-00-00-004,"KNU-00-00-004-ANA-001;All-LC06",OPEN
REQ-XRF-021,Means of Compliance Mapping,Certification,MUST,Required for Type Certificate application,Review,KNOT-00-00-004,"KNU-00-00-004-ANA-001;ATA04-LC02",OPEN
REQ-XRF-022,Safety Assessment Traceability,Certification,MUST,CS-25.1309 safety assessment evidence,Review,KNOT-00-00-004,"KNU-00-00-004-ANA-001;All-LC03",OPEN
REQ-XRF-023,Software Traceability (DO-178C),Certification,MUST,DO-178C objectives,Review,KNOT-00-00-004,"KNU-00-00-004-ANA-001",OPEN
REQ-XRF-024,Hardware Traceability (DO-254),Certification,MUST,DO-254 objectives,Review,KNOT-00-00-004,"KNU-00-00-004-ANA-001",OPEN
REQ-XRF-030,Trace Matrix Structure,Trace Matrix,MUST,Standardized matrix format enables automation,Inspection,KNOT-00-00-004,"KNU-00-00-004-ANA-001;KNU-00-00-004-ICD-001",OPEN
REQ-XRF-031,Trace Matrix Location,Trace Matrix,MUST,Predictable locations for navigation and automation,Inspection,KNOT-00-00-004,"KNU-00-00-004-CM-001",OPEN
REQ-XRF-032,Coverage Metrics,Trace Matrix,MUST,Certification evidence completeness metrics,Inspection,KNOT-00-00-004,"KNU-00-00-004-ANA-001;KNU-00-00-004-CM-001",OPEN
REQ-XRF-040,KNOT-to-KNU Traceability,KNOT/KNU,MUST,Maintains uncertainty-to-resolution traceability,Inspection,KNOT-00-00-004,"KNU-00-00-004-ICD-001;All-LC01",OPEN
REQ-XRF-041,KNU Cross-References,KNOT/KNU,MUST,Captures inter-artifact dependencies,Review,KNOT-00-00-004,"KNU-00-00-004-ICD-001",OPEN
REQ-XRF-042,KNOT Spillover Traceability,KNOT/KNU,SHOULD,Supports tokenomics impact calculation,Review,KNOT-00-00-004,"KNU-00-00-004-ICD-001",OPEN
REQ-XRF-050,LC Category Trace Flow,Lifecycle,MUST,Enforces standard V-model traceability,Review,KNOT-00-00-004,"KNU-00-00-004-ANA-001",OPEN
REQ-XRF-051,Cross-LC Traceability,Lifecycle,MUST,Cross-LC dependencies critical for impact analysis,Review,KNOT-00-00-004,"KNU-00-00-004-ANA-001;KNU-00-00-004-CM-001",OPEN
REQ-XRF-060,SSOT-to-PUB Traceability,Publication,MUST,Maintains single-source-of-truth integrity,BREX+CI,KNOT-00-00-004,"KNU-00-00-004-PUB-001",OPEN
REQ-XRF-061,DM Cross-References,Publication,MUST,S1000D standard cross-reference mechanism,BREX+CI,KNOT-00-00-004,"KNU-00-00-004-PUB-001",OPEN
REQ-XRF-062,Applicability Traceability,Publication,MUST,Ensures publication applicability matches configuration,Review,KNOT-00-00-004,"KNU-00-00-004-PUB-001;All-LC08",OPEN
REQ-XRF-070,Link Integrity Validation,Validation,MUST,Automated quality assurance,Test,KNOT-00-00-004,"KNU-00-00-004-CM-001",OPEN
REQ-XRF-071,Suspect Link Management,Validation,MUST,Change impact visibility,Review,KNOT-00-00-004,"KNU-00-00-004-CM-001",OPEN
REQ-XRF-072,Orphan Detection,Validation,MUST,Completeness verification,Inspection,KNOT-00-00-004,"KNU-00-00-004-CM-001",OPEN
REQ-XRF-073,Coverage Thresholds,Validation,MUST,Certification completeness,Inspection,KNOT-00-00-004,"KNU-00-00-004-CM-001;All-LC06",OPEN
REQ-XRF-080,README Navigation Links,Human-Readable,MUST,Human navigation without tooling,Inspection,KNOT-00-00-004,"KNU-00-00-004-PUB-001;All-README",OPEN
REQ-XRF-081,Index Files,Human-Readable,MUST,Entry points for human navigation,Inspection,KNOT-00-00-004,"KNU-00-00-004-PUB-001",OPEN
REQ-XRF-082,Mermaid Diagrams,Human-Readable,SHOULD,Visual navigation aids comprehension,Inspection,KNOT-00-00-004,"KNU-00-00-004-PUB-001",OPEN
REQ-XRF-083,Breadcrumb Convention,Human-Readable,SHOULD,Location awareness in deep hierarchies,Inspection,KNOT-00-00-004,"KNU-00-00-004-PUB-001",OPEN
REQ-XRF-090,Machine-Readable Link Format,Automation,SHOULD,Enables automated trace analysis,Inspection,KNOT-00-00-004,"KNU-00-00-004-ICD-001",OPEN
REQ-XRF-091,CI Validation Workflow,Automation,MUST,Continuous integrity assurance,Test,KNOT-00-00-004,"KNU-00-00-004-CM-001",OPEN
REQ-XRF-092,Impact Analysis Support,Automation,SHOULD,Change management and certification support,Demonstration,KNOT-00-00-004,"KNU-00-00-004-ICD-001;KNU-00-00-004-CM-001",OPEN
