REQ_ID,Old_ID,Title,Category,Priority,Rationale,Verification,Parent_KNOT,Downstream_KNU,Status
REQ-AMPEL-00-00-02-SE-100,REQ-GLO-001,Glossary Existence,General,MUST,Prevents terminology fragmentation across teams,Inspection,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-101,REQ-GLO-002,Glossary Authority,General,MUST,Establishes single source of truth,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-102,REQ-GLO-003,Glossary Accessibility,General,MUST,Human-readable first principle,Demonstration,KNOT-00-00-004,,OPEN
REQ-AMPEL-00-00-02-SE-103,REQ-GLO-004,Glossary Language,General,MUST,International aerospace standard,Inspection,,,OPEN
REQ-AMPEL-00-00-02-SE-104,REQ-GLO-010,BWB Configuration Terms,Content,MUST,BWB is novel configuration with non-standard terminology,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-105,REQ-GLO-011,Hydrogen Propulsion Terms,Content,MUST,H₂ propulsion introduces novel hazards and concepts,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-106,REQ-GLO-012,Neural Systems Terms,Content,MUST,AI/ML certification requires precise terminology,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-107,REQ-GLO-013,Circularity and DPP Terms,Content,MUST,EU DPP regulation requires standardized terminology,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-108,REQ-GLO-014,OPT-IN Framework Terms,Content,MUST,Framework terminology required for program navigation,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-109,REQ-GLO-015,Distributed Electric Propulsion Terms,Content,MUST,Electric propulsion differs from conventional terminology,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-110,REQ-GLO-020,Term Entry Structure,Structure,MUST,Consistent structure enables search and validation,Inspection,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-111,REQ-GLO-021,Definition Quality,Structure,MUST,ISO 704 terminology principles,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-112,REQ-GLO-022,Abbreviation Uniqueness,Structure,MUST,Prevents ambiguity,Inspection,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-113,REQ-GLO-023,Alphabetical Organization,Structure,SHOULD,Standard glossary convention,Inspection,,,OPEN
REQ-AMPEL-00-00-02-SE-114,REQ-GLO-030,Source Citation,Source,MUST,Establishes terminology provenance,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-115,REQ-GLO-031,Program-Defined Terms,Source,MUST,Ensures novel terms are traceable,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-116,REQ-GLO-032,Source Conflict Resolution,Source,MUST,Prevents ambiguity from source conflicts,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-117,REQ-GLO-040,CSDB Publication,Integration,MUST,Integration with publication system,BREX+CI,KNOT-00-00-001,KNU-00-00-001-PUB-001,OPEN
REQ-AMPEL-00-00-02-SE-118,REQ-GLO-041,Machine-Readable Format,Integration,SHOULD,Enables automated validation and AI/agent consumption,Inspection,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-119,REQ-GLO-042,Cross-Reference Links,Integration,SHOULD,Improves navigability,Inspection,KNOT-00-00-004,,OPEN
REQ-AMPEL-00-00-02-SE-120,REQ-GLO-050,Change Control,Governance,MUST,Configuration management,Review,KNOT-00-00-001,KNU-00-00-001-CM-001,OPEN
REQ-AMPEL-00-00-02-SE-121,REQ-GLO-051,Version Identification,Governance,MUST,Configuration traceability,Inspection,KNOT-00-00-002,,OPEN
REQ-AMPEL-00-00-02-SE-122,REQ-GLO-052,Deprecation Policy,Governance,SHOULD,Maintains historical traceability,Review,KNOT-00-00-001,,OPEN
REQ-AMPEL-00-00-02-SE-123,REQ-GLO-053,Review Cycle,Governance,SHOULD,Ensures terminology remains current,Review,KNOT-00-00-001,,OPEN
