Check_ID,Category,Requirement_Ref,Check_Description,Verification_Method,Pass_Criteria,Severity,Status,Evidence,Notes
CHK-001,Structure,P1,Verify ontological separation between KDB and IDB directories,Automated - Directory analysis,Zero overlap between KDB (GENESIS + SSOT) and IDB (PUB) paths,Critical,Pending,directory_tree_report.txt,Checks for physical directory separation
CHK-002,Structure,P2,Verify all authoritative knowledge resides in KDB,Manual review + Automated scan,100% of technical knowledge artifacts found in GENESIS or SSOT,Critical,Pending,knowledge_inventory.csv,No authoritative content should exist in PUB/IDB only
CHK-003,Structure,P3,Verify IDB artifacts are generated (not authored),Access control review,IDB directories have read-only access; no direct authoring detected,Critical,Pending,access_control_audit.log,Check file permissions and commit history
CHK-004,Precedence,P4,Verify KDB precedence in conflict resolution,Process review,All conflict resolution records show KDB update before IDB regeneration,Major,Pending,conflict_resolution_log.csv,Review change management records
CHK-005,Precedence,P5,Verify no regression from IDB to KDB,Commit history analysis,Zero instances of IDB-to-KDB content flow detected,Critical,Pending,git_log_analysis.txt,Check for reverse traceability violations
CHK-006,Traceability,P6,Verify all KDB→IDB flows have contracts,Contract registry audit,100% of IDB artifacts reference valid contracts,Critical,Pending,contract_coverage_matrix.csv,Cross-reference IDB artifacts with contract registry
CHK-007,Versioning,P7,Verify mandatory traceability for all IDB artifacts,Metadata completeness check,100% of IDB artifacts have kdb_sources and contract_id metadata,Major,Pending,metadata_audit_report.csv,Parse IDB artifact headers/metadata
CHK-008,Maturity,P8,Verify maturity gate enforcement,Pipeline configuration review,Maturity checks present in all IDB generation pipelines,Major,Pending,pipeline_config_snapshot.yaml,Review CI/CD pipeline definitions
CHK-009,Audit,P9,Verify audit trail retention,Log storage review,All transformations logged with timestamps; retention policy enforced,Major,Pending,audit_log_inventory.csv,Check log completeness and storage duration
CHK-010,KDB-GENESIS,KDB-R1,Verify KNOT registration for all KNUs,KNOT registry cross-check,100% of SSOT KNUs have valid parent KNOT references,Critical,Pending,knot_coverage_report.csv,Check _derivation.yaml for all KNUs
CHK-011,KDB-GENESIS,KDB-R2,Verify GENESIS resolution before SSOT execution,Timestamp analysis,All LC02+ KNUs created after corresponding LC01 KNOT,Major,Pending,chronology_report.csv,Compare created_date timestamps
CHK-012,KDB-SSOT,KDB-R3,Verify SSOT asset declaration completeness,Metadata validation,100% of KNUs have LC category + parent KNOT + maturity + downstream targets,Major,Pending,ssot_metadata_completeness.csv,Validate _derivation.yaml and _downstream.yaml
CHK-013,KDB-SSOT,KDB-R4,Verify no direct KDB publication,Access audit + Link analysis,Zero direct user access to KDB; no external links to SSOT/GENESIS,Critical,Pending,access_audit_report.log,Check web server configs and external links
CHK-014,IDB,IDB-R1,Verify mandatory KDB reference for all IDB artifacts,Metadata check,100% of IDB artifacts reference KDB sources and contract,Critical,Pending,idb_reference_audit.csv,Parse IDB metadata for kdb_sources field
CHK-015,IDB,IDB-R2,Verify no new knowledge in IDB,Content comparison,Zero instances of IDB content without KDB source,Critical,Pending,content_delta_analysis.csv,Diff IDB against KDB sources
CHK-016,IDB,IDB-R3,Verify IDB organization by process/audience,Metadata validation,100% of IDB artifacts tagged with audience + process,Minor,Pending,idb_metadata_report.csv,Check for audience and process tags
CHK-017,IDB,IDB-R4,Verify supported projection types,Format validation,All IDB artifacts are CSDB or EXPORT or IETP format,Major,Pending,format_validation_report.csv,Validate projection type field
CHK-018,Contract,CTR-R1,Verify contract content completeness,Schema validation,100% of contracts pass YAML schema validation (9 required sections),Critical,Pending,contract_validation_report.csv,Validate against contract template schema
CHK-019,Contract,CTR-R2,Verify baseline anchoring for releases,Baseline reference check,100% of released IDB artifacts reference frozen KDB baseline,Critical,Pending,baseline_traceability.csv,Check kdb_baseline_id in release contracts
CHK-020,Audit,Evidence,Verify audit evidence retention,Storage policy compliance,All evidence stored per retention policy (7 years),Minor,Pending,evidence_inventory_report.csv,Check evidence storage location and timestamps
