KNU_ID,Parent_KNOT,Title,Artifact_Type,LC_Phase,Status,Priority,Target_Date,Owner
KNU-ATA28-10-00-001-REQ-001,KNOT-ATA28-10-00-001,"LH₂ Tank System Requirements Specification",REQ,LC02,COMPLETE,HIGH,"2026-Q2",STK_SE
KNU-ATA28-10-00-001-REQ-002,KNOT-ATA28-10-00-001,"Tank Capacity and Performance Requirements",REQ,LC02,COMPLETE,HIGH,"2026-Q2",STK_SE
KNU-ATA28-10-00-001-REQ-003,KNOT-ATA28-10-00-001,"Tank Structural Requirements",REQ,LC02,IN_PROGRESS,HIGH,"2026-Q3",STK_DE
KNU-ATA28-10-00-001-REQ-004,KNOT-ATA28-10-00-001,"Tank Interface Control Document",ICD,LC02,IN_PROGRESS,HIGH,"2026-Q3",STK_SE
KNU-ATA28-10-00-001-DES-001,KNOT-ATA28-10-00-001,"Tank Preliminary Design Specification",DES,LC04,PLANNED,HIGH,"2026-Q4",STK_DE
KNU-ATA28-10-00-001-DES-002,KNOT-ATA28-10-00-001,"Tank Detailed Design Package",DES,LC04,PLANNED,HIGH,"2027-Q1",STK_DE
KNU-ATA28-10-00-002-SAF-001,KNOT-ATA28-10-00-002,"Functional Hazard Assessment (FHA)",SAF,LC03,COMPLETE,HIGH,"2026-Q2",STK_SF
KNU-ATA28-10-00-002-SAF-002,KNOT-ATA28-10-00-002,"Preliminary System Safety Assessment (PSSA)",SAF,LC03,IN_PROGRESS,HIGH,"2026-Q4",STK_SF
KNU-ATA28-10-00-002-SAF-003,KNOT-ATA28-10-00-002,"FMEA/FMECA Analysis",SAF,LC03,PLANNED,HIGH,"2027-Q1",STK_SF
KNU-ATA28-10-00-002-SAF-004,KNOT-ATA28-10-00-002,"System Safety Assessment (SSA)",SAF,LC03,PLANNED,HIGH,"2028-Q2",STK_SF
KNU-ATA28-10-00-003-ANA-001,KNOT-ATA28-10-00-003,"MLI Thermal Performance Model",ANA,LC05,IN_PROGRESS,HIGH,"2026-Q3",STK_AN
KNU-ATA28-10-00-003-ANA-002,KNOT-ATA28-10-00-003,"Boil-off Rate Analysis",ANA,LC05,PLANNED,MEDIUM,"2026-Q4",STK_AN
KNU-ATA28-10-00-003-TST-001,KNOT-ATA28-10-00-003,"MLI Coupon Testing",TST,LC06,PLANNED,HIGH,"2027-Q1",STK_TE
KNU-ATA28-10-00-004-TST-001,KNOT-ATA28-10-00-004,"Static Test Specification",TST,LC06,PLANNED,HIGH,"2027-Q2",STK_TE
KNU-ATA28-10-00-004-TST-002,KNOT-ATA28-10-00-004,"Fatigue Test Specification",TST,LC06,PLANNED,HIGH,"2027-Q3",STK_TE
KNU-ATA28-10-00-004-TST-003,KNOT-ATA28-10-00-004,"Damage Tolerance Test Specification",TST,LC06,PLANNED,HIGH,"2027-Q3",STK_TE
KNU-ATA28-10-00-005-CRT-001,KNOT-ATA28-10-00-005,"Certification Plan",CRT,LC08,IN_PROGRESS,HIGH,"2026-Q3",STK_CT
KNU-ATA28-10-00-005-CRT-002,KNOT-ATA28-10-00-005,"Special Conditions Proposal",CRT,LC08,PLANNED,HIGH,"2026-Q4",STK_CT
KNU-ATA28-10-00-005-CRT-003,KNOT-ATA28-10-00-005,"Means of Compliance Matrix",CRT,LC08,PLANNED,HIGH,"2027-Q1",STK_CT
